SexAgeconst,HHoldOAClass2011_B03ID,HasBike_mean,tripsinweek_mean,sumunder1km_mean,sumunder2km_mean,sumunder3km_mean,sumunder4km_mean,sumunder5km_mean,sumunder6km_mean,sumunder7km_mean,sumunder8km_mean,sumunder9km_mean,sumunder10km_mean,sumunder11km_mean,sumunder12km_mean,sumunder13km_mean,sumunder14km_mean,sumunder15km_mean,sumunder16km_mean,sumunder17km_mean,sumunder18km_mean,sumunder19km_mean,sumunder20km_mean,sumunder21km_mean,sumunder22km_mean,sumunder23km_mean,sumunder24km_mean,sumunder25km_mean,sumunder26km_mean,sumunder27km_mean,sumunder28km_mean,sumunder29km_mean,sumunder30km_mean,sumunder31km_mean,sumunder32km_mean,sumunder33km_mean,sumunder34km_mean,sumunder35km_mean,sumweeklytripdist_mean
f1619,1,0.538461538,4.038461538,0,0.014336917562724014,0.01971326164874552,0.022102747909199524,0.034050179211469536,0.04838709677419355,0.052568697729988054,0.05734767025089606,0.07885304659498207,0.11469534050179211,0.2132616487455197,0.22043010752688172,0.2747909199522103,0.3249701314217443,0.3249701314217443,0.42054958183990443,0.42054958183990443,0.4850657108721625,0.519115890083632,0.519115890083632,0.5316606929510155,0.5316606929510155,0.5316606929510155,0.5890083632019116,0.5890083632019116,0.6045400238948626,0.6045400238948626,0.6045400238948626,0.6218637992831542,0.6397849462365591,0.6397849462365591,0.6971326164874552,0.6971326164874552,0.6971326164874552,0.6971326164874552,64.38461538
f1619,2,0.25,2.25,0,0.030303030303030304,0.25757575757575757,0.25757575757575757,0.25757575757575757,0.3484848484848485,0.3484848484848485,0.3484848484848485,0.3484848484848485,0.3484848484848485,0.3484848484848485,0.3484848484848485,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,1,1,1,1,1,1,16.5
f1619,3,0,1.142857143,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.001694915254237288,0.07288135593220339,0.07288135593220339,0.07288135593220339,0.1135593220338983,0.1135593220338983,0.1135593220338983,0.1135593220338983,0.1135593220338983,0.1135593220338983,0.1135593220338983,0.1135593220338983,0.1135593220338983,0.1135593220338983,0.1135593220338983,0.1135593220338983,84.28571429
f1619,4,0.321428571,3.285714286,0.004424778761061947,0.022123893805309734,0.05929203539823009,0.06991150442477877,0.15398230088495576,0.1752212389380531,0.20619469026548673,0.2911504424778761,0.2911504424778761,0.3176991150442478,0.3176991150442478,0.3176991150442478,0.3292035398230089,0.3292035398230089,0.3292035398230089,0.3433628318584071,0.3433628318584071,0.35929203539823007,0.35929203539823007,0.35929203539823007,0.39646017699115044,0.39646017699115044,0.39646017699115044,0.4389380530973451,0.4389380530973451,0.4389380530973451,0.4389380530973451,0.4389380530973451,0.4389380530973451,0.4389380530973451,0.4389380530973451,0.4389380530973451,0.4389380530973451,0.4389380530973451,0.4389380530973451,40.35714286
f1619,5,0.48,3.5,0,0.018440905280804692,0.04233025984911987,0.06077116512992456,0.11944677284157586,0.15213746856663873,0.16387259010896899,0.21081307627829002,0.21081307627829002,0.2694886839899413,0.2787091366303437,0.3189438390611903,0.3570829840737636,0.3864207879295893,0.3864207879295893,0.44006705783738476,0.44006705783738476,0.4702430846605197,0.4782062028499581,0.4865884325230511,0.5129924559932942,0.5222129086336965,0.5222129086336965,0.5222129086336965,0.5222129086336965,0.5222129086336965,0.5222129086336965,0.5339480301760269,0.5461022632020117,0.5461022632020117,0.5461022632020117,0.5461022632020117,0.5461022632020117,0.5461022632020117,0.5461022632020117,47.72
f1619,6,0.627118644,3.86440678,0.002737226277372263,0.020985401459854013,0.046532846715328466,0.04896593673965937,0.08090024330900243,0.12104622871046229,0.13381995133819952,0.18004866180048662,0.18004866180048662,0.23175182481751824,0.27858880778588807,0.2822384428223844,0.2980535279805353,0.30231143552311435,0.30231143552311435,0.31204379562043794,0.31204379562043794,0.33941605839416056,0.3914233576642336,0.3914233576642336,0.3978102189781022,0.444647201946472,0.444647201946472,0.46654501216545013,0.46654501216545013,0.48236009732360097,0.48236009732360097,0.48236009732360097,0.48236009732360097,0.48236009732360097,0.48236009732360097,0.5602189781021898,0.5602189781021898,0.5602189781021898,0.6027980535279805,55.72881356
f1619,7,0.111111111,2.888888889,0.007692307692307693,0.03333333333333333,0.04871794871794872,0.05897435897435897,0.09743589743589744,0.09743589743589744,0.09743589743589744,0.09743589743589744,0.09743589743589744,0.14871794871794872,0.14871794871794872,0.14871794871794872,0.24871794871794872,0.24871794871794872,0.24871794871794872,0.3717948717948718,0.3717948717948718,0.3717948717948718,0.3717948717948718,0.3717948717948718,0.42564102564102563,0.42564102564102563,0.42564102564102563,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.48717948717948717,43.33333333
f1619,8,0.38,3.56,0.0014792899408284023,0.033037475345167655,0.05818540433925049,0.07001972386587771,0.1267258382642998,0.14743589743589744,0.15433925049309666,0.21745562130177515,0.21745562130177515,0.27169625246548323,0.33678500986193294,0.3782051282051282,0.4358974358974359,0.45660749506903353,0.4640039447731755,0.5034516765285996,0.5034516765285996,0.5212031558185405,0.5399408284023669,0.5399408284023669,0.5502958579881657,0.5502958579881657,0.5502958579881657,0.5739644970414202,0.5862919132149902,0.5862919132149902,0.5996055226824457,0.5996055226824457,0.613905325443787,0.628698224852071,0.628698224852071,0.6602564102564102,0.6602564102564102,0.6602564102564102,0.6947731755424064,40.56
f2029,1,0.511627907,5.674418605,0.002515435627715527,0.005716899153898925,0.02355362451406357,0.031785959295678026,0.05008003658815458,0.07066087354219072,0.07706380059455752,0.09352847015778641,0.09970272124399726,0.14086439515206953,0.15344157329064714,0.1644180196661331,0.19711868282643494,0.21632746398353533,0.21632746398353533,0.271209695860965,0.2750971872856163,0.3203750285844958,0.3594786187971644,0.3594786187971644,0.3786873999542648,0.40887262748685116,0.40887262748685116,0.430825520237823,0.430825520237823,0.48433569631831697,0.5090327006631603,0.5090327006631603,0.515664303681683,0.515664303681683,0.515664303681683,0.5229819345986737,0.5229819345986737,0.5307569174479763,0.5387605762634348,101.6976744
f2029,2,0.173913043,3.304347826,0.0011587485515643105,0.011587485515643106,0.027230590961761298,0.0388180764774044,0.06488991888760139,0.08922363847045191,0.08922363847045191,0.09385863267670916,0.09385863267670916,0.09385863267670916,0.1320973348783314,0.1320973348783314,0.1772885283893395,0.20162224797219003,0.20162224797219003,0.20162224797219003,0.20162224797219003,0.20162224797219003,0.20162224797219003,0.20162224797219003,0.20162224797219003,0.30359212050984935,0.3169177288528389,0.3169177288528389,0.3169177288528389,0.33198146002317497,0.33198146002317497,0.33198146002317497,0.36558516801853996,0.36558516801853996,0.36558516801853996,0.36558516801853996,0.36558516801853996,0.36558516801853996,0.36558516801853996,75.04347826
