OA11CD,LSOA_2011CEN_Num_AllAges_URP,co2EF,totprivkmOA,privkm_pp
E00000001,1465,175.6587515,475591.8886,1947.816609
E00000003,1465,175.6587515,475591.8886,1947.816609
E00000005,1465,175.6587515,475591.8886,1947.816609
E00000007,1465,175.6587515,475591.8886,1947.816609
