SexAgeconst,HHoldOAClass2011_B03ID,HasBike_mean,tripsinweek_mean,sumunder1km_mean,sumunder2km_mean,sumunder3km_mean,sumunder4km_mean,sumunder5km_mean,sumunder6km_mean,sumunder7km_mean,sumunder8km_mean,sumunder9km_mean,sumunder10km_mean,sumunder11km_mean,sumunder12km_mean,sumunder13km_mean,sumunder14km_mean,sumunder15km_mean,sumunder16km_mean,sumunder17km_mean,sumunder18km_mean,sumunder19km_mean,sumunder20km_mean,sumunder21km_mean,sumunder22km_mean,sumunder23km_mean,sumunder24km_mean,sumunder25km_mean,sumunder26km_mean,sumunder27km_mean,sumunder28km_mean,sumunder29km_mean,sumunder30km_mean,sumunder31km_mean,sumunder32km_mean,sumunder33km_mean,sumunder34km_mean,sumunder35km_mean,sumweeklytripdist_mean
f1619,1,0.538461538,4.038461538,0.0010973936899862826,0.006035665294924554,0.01262002743484225,0.01700960219478738,0.03758573388203018,0.06392318244170096,0.06584362139917696,0.1141289437585734,0.13388203017832648,0.1832647462277092,0.27681755829903976,0.27681755829903976,0.38737997256515777,0.42962962962962964,0.42962962962962964,0.48669410150891634,0.4960219478737997,0.5404663923182441,0.5769547325102881,0.5769547325102881,0.6230452674897119,0.6471879286694101,0.6471879286694101,0.693278463648834,0.693278463648834,0.7146776406035665,0.722085048010974,0.722085048010974,0.7300411522633745,0.7382716049382716,0.7382716049382716,0.7733882030178326,0.7733882030178326,0.7733882030178326,0.7733882030178326,64.38461538
f1619,2,0.25,2.25,0.005928853754940711,0.005928853754940711,0.017786561264822136,0.017786561264822136,0.02766798418972332,0.039525691699604744,0.039525691699604744,0.039525691699604744,0.039525691699604744,0.07905138339920949,0.07905138339920949,0.07905138339920949,0.07905138339920949,0.18972332015810275,0.18972332015810275,0.18972332015810275,0.18972332015810275,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,0.22529644268774704,16.5
f1619,3,0,1.142857143,0,0,0,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.12105263157894737,0.12105263157894737,0.12105263157894737,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.26842105263157895,0.26842105263157895,0.26842105263157895,0.45263157894736844,84.28571429
f1619,4,0.321428571,3.285714286,0.0025575447570332483,0.034709535988308365,0.08403361344537816,0.09718670076726342,0.1793934965290464,0.23639020825721593,0.23639020825721593,0.28607964925100476,0.29923273657289,0.33576909024479357,0.37194008037997806,0.37194008037997806,0.39568871026671537,0.4008037997807819,0.4008037997807819,0.4358786993058093,0.4358786993058093,0.4687614176105225,0.47570332480818417,0.47570332480818417,0.49872122762148335,0.514797223237121,0.514797223237121,0.5761782974059189,0.5761782974059189,0.5951772013153087,0.5951772013153087,0.5951772013153087,0.5951772013153087,0.5951772013153087,0.5951772013153087,0.5951772013153087,0.6072341980270369,0.6320789185239313,0.6576543660942638,40.35714286
f1619,5,0.48,3.5,0.003676470588235294,0.04681372549019608,0.07990196078431372,0.10931372549019608,0.19264705882352942,0.23970588235294119,0.2517156862745098,0.29093137254901963,0.29093137254901963,0.33259803921568626,0.3568627450980392,0.3862745098039216,0.4245098039215686,0.43480392156862746,0.43480392156862746,0.48970588235294116,0.48970588235294116,0.5117647058823529,0.5257352941176471,0.5453431372549019,0.5813725490196079,0.586764705882353,0.5924019607843137,0.5924019607843137,0.5924019607843137,0.5924019607843137,0.5990196078431372,0.5990196078431372,0.6061274509803921,0.6134803921568628,0.621078431372549,0.6602941176470588,0.6602941176470588,0.6686274509803921,0.6686274509803921,47.72
f1619,6,0.627118644,3.86440678,0.0014364063724209976,0.021546095586314963,0.051710629407155914,0.05588926612692609,0.09506398537477148,0.14364063724209977,0.1555236354139462,0.19417602507182033,0.2012274745364325,0.2508487855837033,0.28101331940454427,0.2841472969443719,0.31979629145991123,0.3234525985897101,0.3234525985897101,0.36732828414729696,0.37398798641943065,0.4068947505876208,0.43914860276834683,0.44437189866805954,0.46630974144685294,0.4892922434055889,0.4892922434055889,0.5363019065030034,0.5363019065030034,0.5736484721859494,0.5806999216505615,0.5806999216505615,0.5844868111778532,0.5962392269522069,0.5962392269522069,0.6422042308696788,0.6422042308696788,0.6422042308696788,0.6604857665186733,55.72881356
f1619,7,0.111111111,2.888888889,0.020021074815595362,0.051633298208640675,0.10221285563751317,0.12750263435194942,0.14330874604847207,0.16859852476290832,0.16859852476290832,0.18545837723919917,0.19494204425711276,0.2792413066385669,0.3487881981032666,0.3487881981032666,0.4172813487881981,0.5205479452054794,0.5205479452054794,0.5879873551106428,0.5879873551106428,0.5879873551106428,0.6080084299262382,0.6080084299262382,0.6301369863013698,0.7460484720758693,0.7460484720758693,0.7713382507903056,0.7713382507903056,0.7713382507903056,0.7713382507903056,0.7713382507903056,0.7713382507903056,0.7713382507903056,0.7713382507903056,0.8724973656480506,0.9072708113804004,0.9072708113804004,0.9072708113804004,43.33333333
f1619,8,0.38,3.56,0.004109940919599281,0.033393269971744154,0.06267659902388903,0.0708964808630876,0.1274081685075777,0.1582327254045723,0.1726175186231698,0.2239917801181608,0.23092730541998457,0.30028255843822244,0.3285384022604675,0.3531980477780632,0.45337785769329564,0.47855124582584124,0.4824043154379656,0.5440534292319548,0.5440534292319548,0.5625481633701516,0.6015926021063447,0.6015926021063447,0.6069868995633187,0.6182892370922168,0.6182892370922168,0.6552787053686103,0.6617004880554842,0.6683791420498331,0.6822501926534806,0.6822501926534806,0.697148728487028,0.7048548677112767,0.7048548677112767,0.7295145132288723,0.7295145132288723,0.7295145132288723,0.7474955047521192,40.56
f2029,1,0.511627907,5.674418605,0.0017057084375710712,0.009210825562883784,0.02422105981350921,0.02740504889697521,0.04901068910620878,0.07425517398226063,0.08062315214919263,0.10518535365021606,0.10518535365021606,0.14384807823516033,0.18637707527859904,0.19456447577894018,0.22856493063452354,0.25244484876051854,0.25585626563566066,0.3049806686377075,0.31078007732544916,0.3476233795769843,0.382192403911758,0.3867409597452809,0.4058448942460769,0.4308619513304526,0.4308619513304526,0.4581532863315897,0.4581532863315897,0.5054582670002274,0.5300204685012508,0.5300204685012508,0.539913577439163,0.539913577439163,0.5469638389811234,0.5651580623152149,0.576415738003184,0.5802820104616784,0.5802820104616784,101.6976744
f2029,2,0.173913043,3.304347826,0.0023439789041898623,0.033987694110753,0.045414591268678584,0.05127453852915324,0.08350424846176384,0.1046000585994726,0.10870202168180486,0.1180779372985643,0.1233518898329915,0.14093173161441547,0.1731614415470261,0.1731614415470261,0.1922062701435687,0.21681804863756227,0.21681804863756227,0.23556987987108116,0.23556987987108116,0.23556987987108116,0.23556987987108116,0.23556987987108116,0.24787576911807793,0.30588924699677705,0.3126281863463229,0.3126281863463229,0.3126281863463229,0.327864049223557,0.327864049223557,0.327864049223557,0.3448578962789335,0.3448578962789335,0.3448578962789335,0.3636097275124524,0.3636097275124524,0.3636097275124524,0.3636097275124524,75.04347826
