LSOA11CD,NOCAR_pr
E01000294,0.200657895
E01000295,0.236054022
E01000296,0.289982425
E01000297,0.224475524
E01000298,0.284174702
E01000299,0.327721661
E01000300,0.202818627
E01000301,0.109416446
E01000302,0.359953704
E01000303,0.112191958
E01000304,0.25848564
E01000305,0.353119322
E01000306,0.264150943
E01000307,0.267673716
E01000308,0.44525066
E01000309,0.192629816
E01000310,0.317540323
E01000311,0.110906863
E01000312,0.288875598
E01000313,0.306861156
E01000314,0.228954424
E01000315,0.263556851
E01000316,0.22967128
E01000317,0.242405063
E01000318,0.137362637
E01000319,0.151333333
E01000320,0.168135593
E01000321,0.273937857
E01000322,0.277014925
E01000323,0.367954071
E01000324,0.156072645
E01000325,0.049689441
E01000326,0.097297297
E01000327,0.08360337
E01000328,0.088435374
E01000329,0.142417244
E01000330,0.241580311
E01000331,0.160736196
E01000332,0.142576848
E01000333,0.275862069
E01000334,0.121042831
E01000335,0.229654404
E01000336,0.369034995
E01000337,0.190562613
E01000338,0.185608224
E01000339,0.116339869
E01000340,0.093209055
E01000341,0.101010101
E01000342,0.090282132
E01000343,0.07752443
E01000344,0.129894344
E01000345,0.049446494
E01000346,0.065351418
E01000347,0.114401077
E01000348,0.033760972
E01000349,0.068113321
E01000350,0.080612925
E01000351,0.075031526
E01000352,0.135238095
E01000353,0.069395018
E01000354,0.172093023
E01000355,0.122562674
E01000356,0.12225097
E01000357,0.070693205
E01000358,0.093905473
E01000359,0.0859375
E01000360,0.201265823
E01000361,0.087662338
E01000362,0.124831309
E01000363,0.072866065
E01000364,0.098287888
E01000365,0.232009926
E01000366,0.161922834
E01000367,0.231675393
E01000368,0.211825861
E01000369,0.115574784
E01000370,0.113337508
E01000371,0.108090615
E01000372,0.218844985
E01000373,0.446632783
E01000374,0.195042401
E01000375,0.162601626
E01000376,0.1330305
E01000377,0.126056338
E01000378,0.188571429
E01000379,0.148809524
E01000380,0.237800687
E01000381,0.151361621
E01000382,0.079396325
E01000383,0.106312292
E01000384,0.18757259
E01000385,0.229367631
E01000386,0.342484557
E01000387,0.086644951
E01000388,0.122795558
E01000389,0.129169193
E01000390,0.111370717
E01000391,0.111176126
E01000392,0.283718104
E01000393,0.129664769
E01000394,0.155006859
E01000395,0.066526611
E01000396,0.077912795
E01000398,0.167604753
E01000399,0.128056628
E01000400,0.132514544
E01000401,0.230429293
E01000402,0.24852459
E01000403,0.340132827
E01000404,0.364816473
E01000405,0.19929078
E01000406,0.19223772
E01000407,0.158223456
E01000408,0.215158924
E01000409,0.101273499
E01000410,0.09502551
E01000411,0.087267525
E01000412,0.098927294
E01000413,0.067640277
E01000414,0.237119438
E01000415,0.06141522
E01000416,0.285714286
E01000417,0.242830995
E01000418,0.251935983
E01000419,0.117043121
E01000420,0.070921986
E01000421,0.109986505
E01000422,0.43956044
E01000423,0.080615385
E01000424,0.111179361
E01000425,0.047619048
E01000426,0.145074627
E01000427,0.201345756
E01000428,0.276582667
E01000429,0.425869433
E01000430,0.171717172
E01000431,0.358173077
E01000432,0.219964136
E01000433,0.292265193
E01000434,0.327020202
E01000435,0.271692745
E01000436,0.064688427
E01000437,0.121028744
E01000438,0.146341463
E01000439,0.185672515
E01000440,0.054493984
E01000441,0.232165207
E01000442,0.11717297
E01000443,0.122257053
E01000444,0.038013489
E01000445,0.08226691
E01000446,0.092239186
E01000447,0.144067797
E01000448,0.051685393
E01000449,0.101889339
E01000450,0.116266376
E01000451,0.09299588
E01000452,0.058123249
E01000453,0.0625
E01000454,0.154580153
E01000455,0.08856305
E01000456,0.088997898
E01000457,0.241926013
E01000458,0.129540781
E01000459,0.19761194
E01000460,0.035476718
E01000461,0.069795427
E01000462,0.251469628
E01000463,0.060606061
E01000464,0.330561331
E01000465,0.382619974
E01000466,0.360146252
E01000467,0.318237454
E01000468,0.252662505
E01000469,0.283555018
E01000470,0.432432432
E01000471,0.206959707
E01000472,0.415304606
E01000473,0.409984068
E01000474,0.308654327
E01000475,0.29757085
E01000476,0.260197775
E01000477,0.329842932
E01000478,0.283536585
E01000479,0.079012346
E01000480,0.092475589
E01000481,0.347204161
E01000482,0.423655914
E01000483,0.406303725
E01000484,0.236970684
E01000485,0.251641138
E01000486,0.101057579
E01000487,0.236266667
E01000488,0.345200254
E01000489,0.308665402
E01000490,0.54358655
E01000491,0.28858723
E01000492,0.215926493
E01000493,0.255956017
E01000494,0.381989406
E01000495,0.529860229
E01000497,0.280182232
E01000498,0.217261905
E01000499,0.26039261
E01000501,0.355923159
E01000502,0.277090909
E01000503,0.288109756
E01000504,0.403341289
E01000505,0.272891566
E01000506,0.488330341
E01000507,0.293145655
E01000508,0.439061703
E01000509,0.236063317
E01000510,0.358637179
E01000511,0.321055862
E01000512,0.349588719
E01000513,0.113553114
E01000514,0.176587302
E01000515,0.355712603
E01000516,0.196924897
E01000517,0.154754506
E01000518,0.232250301
E01000519,0.2600104
E01000520,0.233458177
E01000521,0.551453623
E01000522,0.440977639
E01000523,0.560536398
E01000524,0.568627451
E01000525,0.511077543
E01000526,0.481581312
E01000527,0.547838086
E01000528,0.502344273
E01000530,0.270981898
E01000531,0.523188406
E01000532,0.466871166
E01000533,0.517042939
E01000534,0.282891022
E01000535,0.376497696
E01000536,0.150544523
E01000538,0.047619048
E01000539,0.110966905
E01000540,0.067704807
E01000541,0.228245364
E01000543,0.243734336
E01000544,0.56893641
E01000545,0.595909342
E01000546,0.475379939
E01000547,0.516292135
E01000548,0.630285152
E01000549,0.471590909
E01000550,0.552292633
E01000551,0.578756241
E01000552,0.569620253
E01000553,0.441316794
E01000554,0.428648358
E01000555,0.243820975
E01000556,0.608881755
E01000557,0.519826181
E01000558,0.423208191
E01000559,0.478384125
E01000560,0.421933086
E01000561,0.508033241
E01000562,0.082307194
E01000563,0.05472973
E01000564,0.276814387
E01000565,0.233810498
E01000566,0.102547355
E01000567,0.209183673
E01000568,0.372732958
E01000569,0.066453674
E01000570,0.300380228
E01000571,0.156662665
E01000572,0.137744767
E01000573,0.191074796
E01000574,0.165313653
E01000575,0.239892183
E01000576,0.227108434
E01000577,0.357112706
E01000578,0.272572402
E01000579,0.441832429
E01000580,0.2968107
E01000581,0.326451613
E01000582,0.303735788
E01000583,0.442970822
E01000584,0.30619469
E01000585,0.395259096
E01000586,0.55985342
E01000587,0.115547489
E01000588,0.199362767
E01000589,0.158704883
E01000590,0.152040246
E01000591,0.265542169
E01000592,0.18170581
E01000593,0.169634489
E01000594,0.214958775
E01000595,0.472403561
E01000596,0.486422668
E01000599,0.424311927
E01000600,0.406604239
E01000601,0.382724252
E01000602,0.365996106
E01000603,0.450571621
E01000604,0.340317101
E01000605,0.410348977
E01000606,0.28126835
E01000607,0.265130985
E01000608,0.350861688
E01000609,0.274216867
E01000610,0.304278075
E01000611,0.325795053
E01000612,0.300242131
E01000613,0.350813743
E01000615,0.344354336
E01000616,0.394962793
E01000617,0.240091901
E01000618,0.206833435
E01000619,0.195520581
E01000620,0.298106292
E01000621,0.29199549
E01000622,0.365930599
E01000623,0.124153499
E01000624,0.131360947
E01000625,0.233492172
E01000626,0.448
E01000627,0.368421053
E01000628,0.397449522
E01000629,0.153322868
E01000630,0.419254658
E01000631,0.27151966
E01000632,0.313847628
E01000633,0.434581837
E01000634,0.402048656
E01000635,0.503762542
E01000636,0.32545045
E01000637,0.508059701
E01000638,0.598246519
E01000639,0.539556061
E01000640,0.569948187
E01000641,0.511568123
E01000642,0.600293542
E01000643,0.400187003
E01000644,0.434291581
E01000645,0.024727273
E01000646,0.177109974
E01000647,0.128651336
E01000648,0.081381733
E01000649,0.063717746
E01000650,0.095212766
E01000651,0.10990502
E01000652,0.072
E01000653,0.090114324
E01000654,0.046347211
E01000655,0.040060469
E01000656,0.032857143
E01000657,0.080025205
E01000658,0.066273932
E01000659,0.037619699
E01000661,0.341124447
E01000662,0.150488225
E01000663,0.161647203
E01000664,0.126708075
E01000665,0.100275482
E01000666,0.057883131
E01000667,0.035185185
E01000668,0.152469136
E01000669,0.156100478
E01000670,0.180685358
E01000671,0.206995413
E01000672,0.128678987
E01000673,0.102432778
E01000674,0.243365696
E01000675,0.202853598
E01000676,0.379410064
E01000677,0.219332956
E01000678,0.127123609
E01000679,0.11626506
E01000680,0.023617154
E01000681,0.073313783
E01000682,0.094488189
E01000683,0.133375877
E01000684,0.048133595
E01000685,0.10798722
E01000686,0.099469496
E01000687,0.069868996
E01000688,0.048351648
E01000689,0.17699776
E01000690,0.057061341
E01000691,0.15915493
E01000692,0.110543131
E01000693,0.100238663
E01000694,0.061674009
E01000695,0.085772634
E01000696,0.055479452
E01000697,0.086902545
E01000698,0.026338148
E01000699,0.373603352
E01000700,0.216699801
E01000701,0.199698568
E01000702,0.169568509
E01000703,0.182163188
E01000704,0.147506925
E01000705,0.288122605
E01000706,0.184841454
E01000707,0.084536082
E01000708,0.148412184
E01000709,0.316358025
E01000710,0.225521162
E01000711,0.272133096
E01000712,0.173674589
E01000713,0.146485529
E01000714,0.272678476
E01000715,0.180825243
E01000716,0.129186603
E01000717,0.180857676
E01000718,0.294032023
E01000719,0.217827004
E01000720,0.275585697
E01000721,0.326299925
E01000722,0.185819071
E01000723,0.1042502
E01000724,0.323863636
E01000725,0.271176112
E01000726,0.134945398
E01000727,0.160334836
E01000728,0.175390891
E01000729,0.333146383
E01000730,0.277262181
E01000731,0.16385011
E01000732,0.108474576
E01000733,0.156936598
E01000734,0.099264706
E01000735,0.190026954
E01000736,0.158974359
E01000737,0.192626035
E01000738,0.144073346
E01000739,0.296782666
E01000740,0.483852364
E01000741,0.503152585
E01000742,0.450901804
E01000743,0.487962419
E01000744,0.466981132
E01000745,0.405813953
E01000746,0.388589882
E01000747,0.066875653
E01000748,0.034956305
E01000749,0.055415617
E01000750,0.199731903
E01000751,0.12136665
E01000752,0.137608966
E01000753,0.062015504
E01000754,0.128955224
E01000755,0.077740864
E01000756,0.050543826
E01000757,0.044029353
E01000758,0.08857336
E01000759,0.042801556
E01000760,0.102328864
E01000761,0.043814433
E01000762,0.11706716
E01000763,0.046831956
E01000764,0.097213622
E01000765,0.091337655
E01000766,0.047841307
E01000767,0.063791009
E01000768,0.118655241
E01000769,0.105303613
E01000770,0.146256123
E01000771,0.091584158
E01000772,0.128627968
E01000773,0.111768573
E01000774,0.109979633
E01000775,0.087819947
E01000777,0.082961072
E01000778,0.139240506
E01000779,0.149367089
E01000780,0.264189189
E01000781,0.355017301
E01000782,0.362248439
E01000783,0.256819694
E01000784,0.075132979
E01000785,0.223026792
E01000786,0.086558761
E01000787,0.20569395
E01000788,0.147444299
E01000789,0.410555556
E01000790,0.217961655
E01000791,0.119723183
E01000792,0.126970228
E01000793,0.067337948
E01000794,0.062742561
E01000795,0.135977337
E01000796,0.480368098
E01000797,0.157490397
E01000798,0.474043716
E01000799,0.320341048
E01000800,0.398263027
E01000801,0.280141844
E01000802,0.315211105
E01000803,0.36294896
E01000804,0.101683029
E01000805,0.313621262
E01000806,0.502614759
E01000807,0.102480418
E01000808,0.083541147
E01000809,0.082399473
E01000810,0.05655356
E01000811,0.121969697
E01000812,0.146210597
E01000813,0.098757764
E01000814,0.044415415
E01000815,0.026675342
E01000816,0.104659014
E01000818,0.081117928
E01000819,0.302339181
E01000820,0.190193165
E01000822,0.234394904
E01000823,0.135248354
E01000824,0.221393035
E01000825,0.2760181
E01000826,0.023384615
E01000827,0.148345154
E01000828,0.158459596
E01000829,0.162723601
E01000830,0.023870968
E01000831,0.156596794
E01000832,0.087365591
E01000833,0.027359781
E01000834,0.048192771
E01000835,0.15302267
E01000836,0.043692741
E01000837,0.134259259
E01000838,0.070621469
E01000839,0.032930108
E01000840,0.121778351
E01000841,0.087876844
E01000842,0.40497076
E01000843,0.525029797
E01000844,0.4503386
E01000845,0.414127424
E01000846,0.442961975
E01000847,0.395486936
E01000848,0.409493671
E01000849,0.541108987
E01000850,0.705698673
E01000851,0.69118541
E01000852,0.804303279
E01000853,0.778822055
E01000854,0.697504565
E01000855,0.761376896
E01000856,0.608510638
E01000857,0.374220374
E01000858,0.616872649
E01000859,0.340479193
E01000860,0.524100995
E01000861,0.6772554
E01000862,0.370327103
E01000863,0.672451193
E01000864,0.528301887
E01000865,0.47185261
E01000866,0.527093596
E01000867,0.627487562
E01000868,0.524271845
E01000869,0.56577693
E01000870,0.504430006
E01000871,0.270417423
E01000872,0.572257384
E01000873,0.383770592
E01000874,0.395766517
E01000875,0.602065614
E01000876,0.564073227
E01000877,0.39003881
E01000878,0.322632424
E01000879,0.38697318
E01000880,0.266367137
E01000881,0.427291523
E01000882,0.376322751
E01000883,0.53070508
E01000884,0.175102599
E01000885,0.144680851
E01000886,0.350865052
E01000887,0.48173207
E01000888,0.414330218
E01000889,0.550299401
E01000890,0.611692308
E01000891,0.696870926
E01000892,0.443841563
E01000893,0.335887612
E01000894,0.309593023
E01000895,0.474524248
E01000896,0.322104019
E01000897,0.290909091
E01000898,0.576421801
E01000899,0.194894147
E01000900,0.586629526
E01000901,0.619989017
E01000902,0.599586492
E01000903,0.446403385
E01000904,0.601886792
E01000905,0.632061069
E01000906,0.479112272
E01000907,0.544755245
E01000908,0.480075901
E01000909,0.281908302
E01000910,0.277173913
E01000911,0.414460943
E01000912,0.525487728
E01000913,0.156286722
E01000914,0.699372504
E01000915,0.648330059
E01000916,0.713038417
E01000917,0.705660377
E01000918,0.723607427
E01000919,0.715319662
E01000920,0.612701718
E01000921,0.629139073
E01000922,0.614834092
E01000923,0.454038997
E01000924,0.544899206
E01000925,0.608247423
E01000926,0.607481854
E01000927,0.515011547
E01000928,0.483950617
E01000929,0.578507463
E01000930,0.697382199
E01000931,0.620925342
E01000932,0.591780822
E01000933,0.514063435
E01000934,0.624513619
E01000935,0.61130742
E01000936,0.561029412
E01000937,0.80911983
E01000938,0.755504056
E01000939,0.674185464
E01000940,0.702846975
E01000941,0.697423109
E01000942,0.801862828
E01000943,0.810292634
E01000944,0.646656135
E01000945,0.687206966
E01000946,0.542372881
E01000947,0.676363636
E01000948,0.542154567
E01000949,0.643219265
E01000950,0.642208246
E01000951,0.633289987
E01000952,0.623842593
E01000953,0.632988436
E01000954,0.643115942
E01000955,0.714285714
E01000956,0.693211488
E01000957,0.588201272
E01000958,0.676944972
E01000959,0.656287425
E01000960,0.551296505
E01000961,0.461973602
E01000962,0.486809045
E01000963,0.439377682
E01000964,0.462270133
E01000965,0.486859396
E01000966,0.344827586
E01000967,0.248403123
E01000968,0.482047872
E01000969,0.470964567
E01000970,0.5533241
E01000971,0.366035183
E01000972,0.585863614
E01000973,0.568773234
E01000974,0.574618096
E01000975,0.378344742
E01000976,0.437600428
E01000977,0.490757305
E01000978,0.478309859
E01000979,0.374045802
E01000980,0.244491827
E01000981,0.232643118
E01000982,0.347091932
E01000983,0.22546729
E01000984,0.417927171
E01000985,0.129232896
E01000986,0.190586868
E01000987,0.139063592
E01000989,0.075571178
E01000990,0.325352113
E01000991,0.057610673
E01000992,0.283324886
E01000993,0.204938272
E01000994,0.239949749
E01000995,0.313917842
E01000996,0.197767145
E01000997,0.281273131
E01000998,0.401031593
E01000999,0.247747748
E01001000,0.346123102
E01001001,0.384290541
E01001002,0.305286672
E01001003,0.325317301
E01001004,0.332705882
E01001005,0.405453468
E01001006,0.329268293
E01001007,0.213414634
E01001008,0.290422886
E01001009,0.394366197
E01001010,0.307793923
E01001011,0.453668988
E01001012,0.507651715
E01001013,0.560199005
E01001014,0.473526098
E01001015,0.186805556
E01001016,0.078592375
E01001017,0.04034761
E01001018,0.081619537
E01001019,0.074784911
E01001020,0.110835913
E01001021,0.28978979
E01001022,0.064538515
E01001023,0.218408736
E01001024,0.093837535
E01001025,0.087962963
E01001026,0.096587623
E01001027,0.044033184
E01001028,0.027112232
E01001029,0.094429348
E01001030,0.051005747
E01001031,0.062755798
E01001032,0.062271062
E01001033,0.224628713
E01001034,0.206275033
E01001035,0.306010929
E01001036,0.133653187
E01001037,0.335243553
E01001038,0.304836895
E01001039,0.096245734
E01001040,0.279859485
E01001041,0.302803738
E01001042,0.489548955
